Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUwODcyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0NDY3OTU3NDEzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 64.853","Citroën Aircross VTI 120 LIVE E","2019","38.690 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUwMDg4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5NDIxMzU5MTM1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 66.392","Honda Fit LX","2017","70.000 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUwMDU2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQwNzc2NjIwNTUwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 104.922","Mercedes Benz GLA 200 CGI ADVANCE TURBO","2016","68.992 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ5OTYwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5NTY1NzQ4NDAwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 84.488","Hyundai Creta PULSE PLUS","2019","42.000 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ5NTU1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5MjYzNjQyNTI2My5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 53.940","Volkswagen Up TSI MOVE UP","2017","69.283 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ4ODk1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQwNzY5NzU4Njg1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 60.253","Mitsubishi Lancer HLE","2016","103.519 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ4ODg4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5MTQ5Nzk1NjY1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 51.561","Volkswagen Up TSI MOVE UP","2017","88.999 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ4NTIzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5MjU0NDY5NjYxOC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 81.205","Honda Fit EX","2019","27.033 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ4NTEwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQxNDkwNDI3NjEzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 56.014","Ford Focus SE PLUS","2016","95.700 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ4MDgxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0MzQ1MTg2ODAyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 68.613","Jeep Renegade LONGITUDE","2016","74.572 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ3MzgzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5NzUzODUwNTcxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 61.437","Volkswagen Jetta TSI TRENDLINE","2016","108.000 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ0Nzg5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ3ODQ1MTA4MDIwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 49.941","Fiat Argo FIREFLY DRIVE","2018","68.350 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ0NjIyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5Mzk2NjMyOTUwMS5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 120.859","Mitsubishi Eclipse Cross MIVEC TURBO GLS","2020","16.552 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ0NjEzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM4MjczMDk5MjM2MC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 195.113","Mercedes Benz A 200 CGI ADVANCE SEDAN","2019","17.750 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ0NjA5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5NDM4MDg1MDA1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 76.199","Renault Captur SCE LIFE","2019","40.458 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQxMjIzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM4NTc3MTgyMjAxNi5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 50.098","Chevrolet Onix MPFI JOY","2019","54.649 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTM3MDM5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5NjcwMjYxMDk2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 59.058","Chevrolet Cruze LT","2015","96.728 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTMzOTczL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM3NzYxNzg2MTIxMi5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 71.999","Kia Sportage EX","2014","103.220 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTMxMzk4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0NzYzOTI4OTQ3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 50.694","Chevrolet Prisma MPFI LTZ","2016","103.440 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTMwMDU2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM3MDg4MTUxOTMzOS5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 60.903","Volkswagen Saveiro MSI TRENDLINE CS","2020","43.440 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTI4MjkxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM4MjMzMzkxODk3OC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 69.250","Mitsubishi Lancer HL-T","2018","68.766 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTI3MzU2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5Njk4MjkwMjU1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 41.236","Volkswagen Fox MI","2014","74.681 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTI2NzU0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQyMzIyMzI4NTAyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 64.439","Chevrolet Tracker MPFI LTZ","2014","99.534 km","Minas Gerais"
