Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY5NDA5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ3NjAyMTY5OTY1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 91.499","Volvo XC60 T5 KINETIC","2016","103.781 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY5MjcxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ1Nzg2NTAxMjM0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 48.199","Volkswagen Voyage MSI TOTAL TRENDLINE","2018","80.308 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY4OTE2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ3NzEzNzY5OTQ2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 61.599","Renault Duster DYNAMIQUE","2016","96.107 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY4NTk1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg0ODg4NTkxNzM4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 118.699","Audi A4 TFSI LAUNCH EDITION","2016","86.849 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY3ODE2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0NzM2NTk1NTM5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 104.299","Toyota Corolla XEI","2019","47.012 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTYzNzk4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0MzAxMDM2NDMyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 40.699","Volkswagen Gol MI CITY","2015","98.790 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTYzNzg2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ1MjMzNjUxNTQwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 86.699","Audi A3 TFSI SEDAN ATTRACTION","2017","95.080 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTYzNjY2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQzMTkyNDM3NTI1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 67.299","Ford Focus SE FASTBACK","2019","57.214 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTYyMzI4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQyNzQxODA1MTQ3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 37.999","Fiat Mobi EVO EASY","2017","65.240 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTYxODQ5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0MDA3MjMzNzY2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 56.199","Hyundai Tucson MPFI GLS 2WD","2015","103.810 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTYwNzQzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQyNDM2MTQ5MDQwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 89.899","Fiat Toro EVO ENDURANCE","2020","42.151 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTU5OTEwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQzMDk5NjM4MzcxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 75.899","Audi A3 TFSI SPORTBACK","2014","89.100 km","São Paulo"
