Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTE4OTk3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjMyNzY5MzY2MjQ2Mi5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 97.798","Volvo XC60 T5 KINETIC","2017","78.559 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTE1MDU5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ4OTYxNTcwODU2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 67.371","Jeep Renegade SPORT","2018","56.671 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTA5OTM1L2VsYW50cmEtaHl1bmRhaS12ZXJzYW8tYmFzZS0yMDE4LWV4dGVyaW9yLWZyb250c2lkZXBpbG90bmVhci0xNjI4MzU5ODUzMDEzOS5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 76.099","Hyundai Elantra AUTOMATICO FLEX","2018","50.800 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTAzNDQ2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjMyMzA2NjU1NTE5NC5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 60.299","Ford Eco Sport SE","2017","68.612 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTAwODkzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ5ODEyMTE2Mzk0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 61.499","Volkswagen Polo MSI TOTAL","2018","51.061 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjU5MzY4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg5MjA5OTc0MTg4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 110.299","Nissan Kicks SENSE XTRONIC","2023","5.365 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjU3MzU0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg3ODg4NjA2ODg3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 109.899","Chery Tiggo 5x iFLEX TXS","2022","19.720 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjU3MTI2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg3NTY4NzAxODE5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 116.799","Nissan Kicks EXCLUSIVE","2022","14.568 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjU2MTY5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg4MDc5NTcwNzkzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 37.599","Nissan March S","2014","84.254 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjUxODYxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg2NzcyMjI2MjM1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 113.399","Honda Civic ONE EXL","2019","41.664 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjUwNDc1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg2NzcxMjE3NDQzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 103.499","Toyota Corolla XEI","2019","53.125 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjQ5NTgyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg0NjE2OTAxMjI1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 65.899","Toyota Etios X PLUS SEDAN","2019","48.981 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjQ5NDQ3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg2MDc1MjU3MjgwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 84.499","Chevrolet Cruze TURBO LTZ","2017","78.491 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjM5ODI0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjgxNTAyNzIwMzc3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 55.899","Hyundai Tucson MPFI GLS 2WD","2014","89.850 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjM5MTgxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc5NTk2OTAxMTUyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 124.399","Hyundai Creta LIMITED","2022","15.511 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjM4ODI5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc5MDE0MjM2MTM3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 58.799","Renault Sandero SCE STEPWAY DYNAMIQUE EASY-R","2019","68.467 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjM2NDg2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc3OTc4MTI3ODU0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 61.299","Hyundai Tucson MPFI GLS BASE 2WD","2016","80.907 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMzMTQxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc3NzgyNjM2NzMwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 66.999","Honda Fit EX","2016","85.449 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjI5MDU3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjczMDM2NDI2OTE1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 62.099","Renault Sandero SANDERO STEPWAY Zen  Mec","2020","54.572 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjI4MDk4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc0MDY4MTUyMjgxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 128.599","Land Rover Range Rover Evoque PURE TECH 4WD","2014","45.866 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjI3ODMyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjcyOTQwNDM2MDAxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 103.599","Volkswagen T-Cross 200 TSI TOTAL COMFORTLINE","2020","45.861 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjI0ODcyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjcyMDc2NzkwMjgxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 39.399","Volkswagen Voyage MI TRENDLINE","2014","82.581 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjE0MzU0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY5MDU2NDc5ODI5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 151.699","Honda Hr-V TOURING","2021","23.103 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwNDIyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4MTExMDc2OTE1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 81.299","Volkswagen Virtus 200 TSI COMFORTLINE","2020","40.101 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwMzI0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4Nzc1NTE5NjEzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 54.999","Fiat Argo FIREFLY DRIVE","2018","65.000 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjEwMDAxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY4NjMyMjY5MzQwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 111.899","Honda Hr-V EX","2020","38.790 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTk3MTQ1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjU5MjA5NDA5NDE2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 113.499","Hyundai Tucson T-GDI GLS ECOSHIFT","2018","51.679 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgzNjg5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg4MjQwMjUyNTE4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 33.299","Ford Focus GLX","2012","113.048 km","São Paulo"
