Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwOTU5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc2NTcxMTEzOTAyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 160.899","Chery Tiggo8 TXS DCT","2022","23.374 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwODIzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc0NjAzMTUwODQzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 83.199","Jeep Renegade STD","2020","36.809 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwNzY0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc1ODE3OTg4NTk0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 145.599","Mercedes Benz GLA 200 CGI STYLE","2019","54.054 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwNzQ4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc0ODY4NjI2NDM2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 110.799","Jeep Compass LIMITED","2018","55.788 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwNDM5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc3Nzk2MjU3MzIyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 72.799","Mercedes Benz B 200 SPORT TURBO","2013","85.237 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwMjY3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc2NTg4MTU1MzE5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 68.799","Jeep Renegade SPORT","2016","90.231 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwMjUzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg5NTk4NjQ5NTIyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 68.599","Ford Eco Sport TI-VCT SE","2018","68.064 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwMjM5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc0MjYzNTYwNjkwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 68.199","Jac T40 JET","2020","33.704 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjMwMjMwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc2NDA1MDQ1Mzg2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 56.899","Fiat Argo FIREFLY","2020","42.464 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjI5NzkyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjczMTE3ODYzMzAyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 86.699","Jeep Renegade STD","2021","33.253 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjI5NTgyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjc2MDUyNTY0NDY4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 76.499","Jeep Renegade SPORT","2019","57.475 km","São Paulo"
