Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjA2NDU5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY1NzU1NjEyMTY2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 49.199","Fiat Punto ESSENCE","2016","77.786 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjA1NjUyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY0MjI1NTI5MDk4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 113.899","Fiat Pulse IMPETUS","2022","16.100 km","Rio de Janeiro"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTk4NDU0L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjYwNTg0MzgxODcxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 119.499","Chery Tiggo 7 VVT TURBO I TXS DCT","2020","24.500 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTk4MTU5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY2MjE0NjU3MTIzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 70.499","Audi A4 TFSI ATTRACTION","2013","82.802 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTk3MTQ1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjU5MjA5NDA5NDE2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 113.499","Hyundai Tucson T-GDI GLS ECOSHIFT","2018","51.679 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTg3MjMwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjUzMDcxNjI0MzA3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 109.099","Mitsubishi Outlander GT V6","2016","82.600 km","Rio de Janeiro"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTg0NjAyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjUzNTYzOTE0MDkzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 54.899","Volkswagen Crossfox MSI","2015","81.213 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgzODU3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjU2Nzk0MzQ1NjA1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 78.299","Audi A1 TFSI SPORTBACK ATTRACTION","2015","76.844 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgzNjg5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg4MjQwMjUyNTE4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 33.299","Ford Focus GLX","2012","113.048 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgzNTQxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjgwMzA3NjE3MjgwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 38.999","Volkswagen Fox MI TREND","2013","94.676 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgzMzUxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjU5MTA5ODk0MzMxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 52.499","Chevrolet Onix MPFI LT","2018","87.556 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgxOTY3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjUwMTQzNjcxMzExLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 166.399","Toyota HILUX SW4 SR","2017","77.440 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgxODIwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjUwNTczMzU3MTY3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 41.699","Peugeot 208 ALLURE","2014","79.525 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTgwNjc2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjUwMjA1MTk0MzkwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 102.199","Jeep Compass LONGITUDE","2018","62.180 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTc5OTkzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjUwNTIzMjcxNTYzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 31.899","Ford Fiesta ROCAM HATCH","2014","94.200 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTc5OTc2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ4ODQ1NDQzMTY0LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 50.399","Chevrolet Onix MPFI JOY","2018","70.827 km","Rio de Janeiro"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTc0MTY3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ3ODk2NDI4OTgyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 71.899","Jeep Renegade SPORT","2016","55.423 km","Rio de Janeiro"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTc0MTYwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjg3NDcxMjEwODE4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 59.099","Hyundai Santa Fé MPFI GLS V6","2012","91.959 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTcwNjYxL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ1NjgzOTM2MTAyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 43.299","Kia Picanto EX","2016","75.668 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTcwNTY3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ2NTMwNzg1NTAwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 49.699","Hyundai Hb20 COMFORT","2015","63.363 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY5ODk4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ2NzI3Mzk2MzE2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 54.099","Fiat Argo FIREFLY DRIVE","2018","47.683 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY5ODQ3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjY1NzgwOTQ2NDMyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 54.899","Volvo S60 T4 FWD","2012","96.937 km","São Paulo"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTY5Nzc1L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0NDg1NjIzNDc5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 79.199","Nissan Kicks START SL","2017","100.465 km","São Paulo"
