Image Source,Price,Name,Year,Kilometers,City
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTU3NjI3L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQxODc3NjYyMzk4LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 70.115","Hyundai Azera MPFI GLS V6","2014","101.500 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUyODU5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQ0ODMwNTI3MTcxLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 67.186","Volkswagen Saveiro CROSS CE","2016","99.030 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUxMzYzL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQxMjEwNDM1NDQzLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 83.388","Honda Fit EX","2020","31.327 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTUwMzg4L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5NzQzMzgyMTgwLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 75.937","Hyundai Creta ATTITUDE","2018","68.005 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ4NDk2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5MTI4NDA3MjYxNy5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 127.088","Audi A4 TFSI AMBIENTE","2018","62.842 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTQ0Njk5L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjQxNDY4MjUyMzg2LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 57.110","Honda Fit LX","2015","86.740 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTMwNTk2L0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM5MjI5MTMyMzY3LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 59.460","Hyundai HB20S COMFORT PLUS","2019","55.757 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMTMwMDMyL0VYVEVSSU9SLWZyb250U2lkZVBpbG90TmVhci0xNjM3MDAyODMzMzU3My5qcGciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjU0MCwiaGVpZ2h0IjozMTB9fX0=","R$ 55.499","Ford Focus SE FASTBACK","2016","101.800 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjUzMTEwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90RGlzdGFuY2UtMTY4NzM4ODAzMTQ0OC5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1NDAsImhlaWdodCI6MzEwfX19","R$ 75.799","Chery Tiggo 2 FLEX EX","2021","21.137 km","Minas Gerais"
"https://images.prd.kavak.io/eyJidWNrZXQiOiJrYXZhay1pbWFnZXMiLCJrZXkiOiJpbWFnZXMvMjM1MDgwL0VYVEVSSU9SLWZyb250U2lkZVBpbG90RGlzdGFuY2UtMTY4NDE2NTA2ODE0MC5qcGVnIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo1NDAsImhlaWdodCI6MzEwfX19","R$ 42.599","Fiat Uno FIREFLY DRIVE","2018","81.812 km","Minas Gerais"
